[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /v1/ping                  --> gin-le/route.ping (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/12/20 - 11:19:09 | 200 |       542.3µs |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:29 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:29 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:30 | 200 |        19.7µs |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:32 | 200 |        66.4µs |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:33 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:33 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:34 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:34 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:35 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:35 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:35 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:36 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:36 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:36 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:37 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:37 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:37 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:38 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:38 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:38 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:39 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:39 | 200 |       514.4µs |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:39 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:39 | 200 |       525.4µs |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:40 | 200 |        50.4µs |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:41 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:41 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:42 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:42 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:43 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
[GIN] 2022/12/20 - 11:20:43 | 200 |            0s |       127.0.0.1 | GET      "/v1/ping?name=huanhuan&address=127.0.0.1&age=12"
